"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"PCMIRUS","194913","9388","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","195013","9060","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","195113","9186","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","195213","9360","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","195313","9377","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","195413","9349","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","195513","9447","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","195613","9496","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","195713","9348","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","195813","9500","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","195913","9615","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","196013","9518","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","196113","9521","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","196213","9494","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","196313","9587","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","196413","9665","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","196513","9603","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","196613","9733","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","196713","9849","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","196813","9922","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","196913","9921","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","197013","9989","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","197113","10097","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","197213","10171","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","197313","9884","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","197413","9221","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","197513","9309","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","197613","9418","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","197713","9517","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","197813","9500","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","197913","9062","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","198013","8813","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","198113","8873","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","198213","9050","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","198313","9118","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","198413","9248","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","198513","9419","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","198613","9464","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","198713","9720","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","198813","9972","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","198913","10157","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","199013","10504","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","199113","10571","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","199213","10857","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","199313","10804","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","199413","10992","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","199513","11203","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","199613","11330","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","199713","11581","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","199813","11754","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","199913","11848","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","200013","11976","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","200113","11831","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","200213","12202","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","200313","12325","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","200413","12460","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","200513","12510","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","200613","12485","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","200713","10710","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","200813","10290","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","200913","10391","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","201013","10650","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","201113","11150","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","201213","11262","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","201313","11244","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","201413","11048","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","201513","11327","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
"PCMIRUS","201613","11370","1","Light-Duty Vehicles, Short Wheelbase Mileage","Miles per Vehicle"
