Contiguous U.S., Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194005,60.85,0.65
194105,62.33,2.13
194205,59.09,-1.11
194305,59.72,-0.48
194405,62.02,1.82
194505,58.28,-1.92
194605,58.75,-1.45
194705,60.13,-0.07
194805,60.24,0.04
194905,61.72,1.52
195005,59.45,-0.75
195105,60.76,0.56
195205,60.58,0.38
195305,59.18,-1.02
195405,58.59,-1.61
195505,61.29,1.09
195605,61.77,1.57
195705,59.65,-0.55
195805,62.42,2.22
195905,60.84,0.64
196005,59.31,-0.89
196105,58.87,-1.33
196205,62.24,2.04
196305,61.02,0.82
196405,61.43,1.23
196505,60.80,0.60
196605,60.19,-0.01
196705,57.63,-2.57
196805,58.17,-2.03
196905,61.41,1.21
197005,61.07,0.87
197105,58.26,-1.94
197205,60.53,0.33
197305,59.23,-0.97
197405,60.37,0.17
197505,60.35,0.15
197605,59.04,-1.16
197705,61.66,1.46
197805,59.74,-0.46
197905,59.13,-1.07
198005,60.28,0.08
198105,58.96,-1.24
198205,60.80,0.60
198305,57.94,-2.26
198405,60.08,-0.12
198505,62.08,1.88
198605,61.09,0.89
198705,62.96,2.76
198805,61.21,1.01
198905,60.46,0.26
199005,58.86,-1.34
199105,61.97,1.77
199205,61.16,0.96
199305,60.89,0.69
199405,60.67,0.47
199505,58.64,-1.56
199605,60.98,0.78
199705,59.40,-0.80
199805,62.47,2.27
199905,60.06,-0.14
200005,63.14,2.94
200105,62.82,2.62
200205,59.29,-0.91
200305,60.98,0.78
200405,61.92,1.72
200505,59.56,-0.64
200605,62.28,2.08
200705,62.33,2.13
200805,59.36,-0.84
200905,61.65,1.45
201005,59.88,-0.32
201105,59.13,-1.07
201205,63.45,3.25
201305,60.85,0.65
201405,61.27,1.07
201505,60.84,0.64
201605,60.33,0.13
201705,60.57,0.37
201805,65.52,5.32
201905,59.49,-0.71
202005,60.91,0.71
202105,60.35,0.15
202205,61.88,1.68
