Contiguous U.S., Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194010,56.08,1.97
194110,55.20,1.09
194210,54.57,0.46
194310,53.69,-0.42
194410,55.27,1.16
194510,54.14,0.03
194610,53.15,-0.96
194710,58.80,4.69
194810,53.19,-0.92
194910,54.05,-0.06
195010,57.47,3.36
195110,54.00,-0.11
195210,52.95,-1.16
195310,56.21,2.10
195410,54.68,0.57
195510,55.04,0.93
195610,56.16,2.05
195710,51.67,-2.44
195810,54.73,0.62
195910,53.33,-0.78
196010,54.77,0.66
196110,53.85,-0.26
196210,56.12,2.01
196310,59.36,5.25
196410,53.78,-0.33
196510,54.99,0.88
196610,52.83,-1.28
196710,53.92,-0.19
196810,54.64,0.53
196910,51.03,-3.08
197010,52.27,-1.84
197110,55.08,0.97
197210,52.29,-1.82
197310,56.07,1.96
197410,53.89,-0.22
197510,54.63,0.52
197610,50.00,-4.11
197710,53.98,-0.13
197810,54.41,0.30
197910,55.26,1.15
198010,52.59,-1.52
198110,52.32,-1.79
198210,53.26,-0.85
198310,55.00,0.89
198410,53.60,-0.51
198510,54.30,0.19
198610,54.01,-0.10
198710,52.95,-1.16
198810,53.96,-0.15
198910,54.34,0.23
199010,53.98,-0.13
199110,54.75,0.64
199210,54.54,0.43
199310,52.97,-1.14
199410,54.21,0.10
199510,54.45,0.34
199610,53.65,-0.46
199710,53.92,-0.19
199810,55.13,1.02
199910,54.75,0.64
200010,55.09,0.98
200110,54.37,0.26
200210,51.84,-2.27
200310,56.55,2.44
200410,55.36,1.25
200510,55.38,1.27
200610,52.59,-1.52
200710,56.68,2.57
200810,53.98,-0.13
200910,50.50,-3.61
201010,56.14,2.03
201110,55.09,0.98
201210,53.89,-0.22
201310,53.44,-0.67
201410,56.93,2.82
201510,57.24,3.13
201610,57.72,3.61
201710,55.69,1.58
201810,53.71,-0.40
201910,52.05,-2.06
202010,54.28,0.17
202110,56.97,2.86
202210,55.31,1.20
